"date","Item","Element","Value"
2010-01-12,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",60.8
2010-01-12,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",19.4
2010-01-12,"FEEDER CATTLE - CME","Speculators net position (% of OI)",4.4
2010-01-12,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",60.7
2010-01-12,"GOLD - CE","Speculators net position (% of OI)",37.4
2010-01-12,"LEAN HOGS - CME","Speculators net position (% of OI)",45.6
2010-01-12,"LIVE CATTLE - CME","Speculators net position (% of OI)",37.7
2010-01-12,"MILK, Class III - CME","Speculators net position (% of OI)",-15.5
2010-01-12,"NATURAL GAS - NYME","Speculators net position (% of OI)",3.8
2010-01-12,"PALLADIUM - NYME","Speculators net position (% of OI)",63.3
2010-01-12,"PLATINUM - NYME","Speculators net position (% of OI)",49
2010-01-12,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",49.8
2010-01-12,"ROUGH RICE - CBoT","Speculators net position (% of OI)",64.6
2010-01-12,"SILVER - CE","Speculators net position (% of OI)",47.1
2010-01-12,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",22.5
2010-01-12,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",43.5
2010-01-12,"SOYBEANS - CBoT","Speculators net position (% of OI)",33.2
2010-01-12,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",21.9
2010-01-19,"COCOA - ICE","Smart money net position (% of OI)",-45.1
2010-01-19,"COFFEE C - ICE","Smart money net position (% of OI)",-55.1
2010-01-19,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-47.9
2010-01-19,"CORN - CBoT","Smart money net position (% of OI)",-36.8
2010-01-19,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-59.7
2010-01-19,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-19.3
2010-01-19,"FEEDER CATTLE - CME","Smart money net position (% of OI)",-8.2
2010-01-19,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-58.4
2010-01-19,"GOLD - CE","Smart money net position (% of OI)",-36.2
2010-01-19,"LEAN HOGS - CME","Smart money net position (% of OI)",-46.8
2010-01-19,"LIVE CATTLE - CME","Smart money net position (% of OI)",-43.8
2010-01-19,"MILK, Class III - CME","Smart money net position (% of OI)",13.5
2010-01-19,"NATURAL GAS - NYME","Smart money net position (% of OI)",-3.6
2010-01-19,"PALLADIUM - NYME","Smart money net position (% of OI)",-60.1
2010-01-19,"PLATINUM - NYME","Smart money net position (% of OI)",-48.4
2010-01-19,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-53.4
2010-01-19,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-58
2010-01-19,"SILVER - CE","Smart money net position (% of OI)",-45.9
2010-01-19,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-23.5
2010-01-19,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-37.3
2010-01-19,"SOYBEANS - CBoT","Smart money net position (% of OI)",-30.9
2010-01-19,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-20.5
2010-01-19,"COCOA - ICE","Speculators net position (% of OI)",45.1
2010-01-19,"COFFEE C - ICE","Speculators net position (% of OI)",54.9
2010-01-19,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",47.8
2010-01-19,"CORN - CBoT","Speculators net position (% of OI)",36.8
2010-01-19,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",59.6
2010-01-19,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",19.3
2010-01-19,"FEEDER CATTLE - CME","Speculators net position (% of OI)",8.09999999999999
2010-01-19,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",58.2
2010-01-19,"GOLD - CE","Speculators net position (% of OI)",36.1
2010-01-19,"LEAN HOGS - CME","Speculators net position (% of OI)",46.9
2010-01-19,"LIVE CATTLE - CME","Speculators net position (% of OI)",43.8
2010-01-19,"MILK, Class III - CME","Speculators net position (% of OI)",-13.5
2010-01-19,"NATURAL GAS - NYME","Speculators net position (% of OI)",3.7
2010-01-19,"PALLADIUM - NYME","Speculators net position (% of OI)",60.1
2010-01-19,"PLATINUM - NYME","Speculators net position (% of OI)",48.5
2010-01-19,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",53.4
2010-01-19,"ROUGH RICE - CBoT","Speculators net position (% of OI)",58
2010-01-19,"SILVER - CE","Speculators net position (% of OI)",45.8
2010-01-19,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",23.4
2010-01-19,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",37.3
2010-01-19,"SOYBEANS - CBoT","Speculators net position (% of OI)",30.8
2010-01-19,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",20.5
2010-01-26,"COCOA - ICE","Smart money net position (% of OI)",-44.6
2010-01-26,"COFFEE C - ICE","Smart money net position (% of OI)",-53.3
2010-01-26,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-46.5
2010-01-26,"CORN - CBoT","Smart money net position (% of OI)",-32.6
2010-01-26,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-54.1
2010-01-26,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-18.4
2010-01-26,"FEEDER CATTLE - CME","Smart money net position (% of OI)",-12.2
2010-01-26,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-58.7
2010-01-26,"GOLD - CE","Smart money net position (% of OI)",-34.1
2010-01-26,"LEAN HOGS - CME","Smart money net position (% of OI)",-46.7
2010-01-26,"LIVE CATTLE - CME","Smart money net position (% of OI)",-44.8
2010-01-26,"MILK, Class III - CME","Smart money net position (% of OI)",17.7
2010-01-26,"NATURAL GAS - NYME","Smart money net position (% of OI)",-4
2010-01-26,"PALLADIUM - NYME","Smart money net position (% of OI)",-56.9
2010-01-26,"PLATINUM - NYME","Smart money net position (% of OI)",-45.4
2010-01-26,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-52
2010-01-26,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-52.6
2010-01-26,"SILVER - CE","Smart money net position (% of OI)",-47.3
2010-01-26,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-21.8
2010-01-26,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-29.5
2010-01-26,"SOYBEANS - CBoT","Smart money net position (% of OI)",-27.3
2010-01-26,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-15.8
2010-01-26,"COCOA - ICE","Speculators net position (% of OI)",44.6
2010-01-26,"COFFEE C - ICE","Speculators net position (% of OI)",53.2
2010-01-26,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",46.5
2010-01-26,"CORN - CBoT","Speculators net position (% of OI)",32.7
2010-01-26,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",54.1
2010-01-26,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",18.5
2010-01-26,"FEEDER CATTLE - CME","Speculators net position (% of OI)",12.2
2010-01-26,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",58.5
2010-01-26,"GOLD - CE","Speculators net position (% of OI)",34.1
2010-01-26,"LEAN HOGS - CME","Speculators net position (% of OI)",46.6
2010-01-26,"LIVE CATTLE - CME","Speculators net position (% of OI)",44.8
2010-01-26,"MILK, Class III - CME","Speculators net position (% of OI)",-17.8
2010-01-26,"NATURAL GAS - NYME","Speculators net position (% of OI)",4
2010-01-26,"PALLADIUM - NYME","Speculators net position (% of OI)",57
2010-01-26,"PLATINUM - NYME","Speculators net position (% of OI)",45.5
2010-01-26,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",52
2010-01-26,"ROUGH RICE - CBoT","Speculators net position (% of OI)",52.6
2010-01-26,"SILVER - CE","Speculators net position (% of OI)",47.3
2010-01-26,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",21.9
2010-01-26,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",29.3
2010-01-26,"SOYBEANS - CBoT","Speculators net position (% of OI)",27.3
2010-01-26,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",15.7
2010-02-02,"COCOA - ICE","Smart money net position (% of OI)",-40.5
2010-02-02,"COFFEE C - ICE","Smart money net position (% of OI)",-44.6
2010-02-02,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-43.3
2010-02-02,"CORN - CBoT","Smart money net position (% of OI)",-30.5
2010-02-02,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-48.7
2010-02-02,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-17.5
2010-02-02,"FEEDER CATTLE - CME","Smart money net position (% of OI)",-10.1
2010-02-02,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-57.6
2010-02-02,"GOLD - CE","Smart money net position (% of OI)",-34
2010-02-02,"LEAN HOGS - CME","Smart money net position (% of OI)",-44.7
2010-02-02,"LIVE CATTLE - CME","Smart money net position (% of OI)",-43.6
2010-02-02,"MILK, Class III - CME","Smart money net position (% of OI)",23.9
2010-02-02,"NATURAL GAS - NYME","Smart money net position (% of OI)",-4.3
2010-02-02,"PALLADIUM - NYME","Smart money net position (% of OI)",-56.5
2010-02-02,"PLATINUM - NYME","Smart money net position (% of OI)",-43.2
2010-02-02,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-49.5
2010-02-02,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-50.2
2010-02-02,"SILVER - CE","Smart money net position (% of OI)",-45
2010-02-02,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-16.9
2010-02-02,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-28.5
2010-02-02,"SOYBEANS - CBoT","Smart money net position (% of OI)",-22.8
