"date","Item","Element","Value"
2012-11-13,"NATURAL GAS - NYME","Smart money net position (% of OI)",-3.5
2012-11-13,"PALLADIUM - NYME","Smart money net position (% of OI)",-47
2012-11-13,"PLATINUM - NYME","Smart money net position (% of OI)",-54.4
2012-11-13,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-42.8
2012-11-13,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-4.7
2012-11-13,"SILVER - CE","Smart money net position (% of OI)",-31.5
2012-11-13,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-36.9
2012-11-13,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-11.6
2012-11-13,"SOYBEANS - CBoT","Smart money net position (% of OI)",-34
2012-11-13,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-22.6
2012-11-13,"COCOA - ICE","Speculators net position (% of OI)",25.9
2012-11-13,"COFFEE C - ICE","Speculators net position (% of OI)",9.6
2012-11-13,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",29.1
2012-11-13,"CORN - CBoT","Speculators net position (% of OI)",29.4
2012-11-13,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",26.1
2012-11-13,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",1.5
2012-11-13,"FEEDER CATTLE - CME","Speculators net position (% of OI)",-5.1
2012-11-13,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",31.7
2012-11-13,"GOLD - CE","Speculators net position (% of OI)",39.8
2012-11-13,"LEAN HOGS - CME","Speculators net position (% of OI)",34.4
2012-11-13,"LIVE CATTLE - CME","Speculators net position (% of OI)",24.2
2012-11-13,"MILK, Class III - CME","Speculators net position (% of OI)",-1
2012-11-13,"NATURAL GAS - NYME","Speculators net position (% of OI)",3.6
2012-11-13,"PALLADIUM - NYME","Speculators net position (% of OI)",47
2012-11-13,"PLATINUM - NYME","Speculators net position (% of OI)",54.5
2012-11-13,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",42.8
2012-11-13,"ROUGH RICE - CBoT","Speculators net position (% of OI)",4.6
2012-11-13,"SILVER - CE","Speculators net position (% of OI)",31.5
2012-11-13,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",36.8
2012-11-13,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",11.4
2012-11-13,"SOYBEANS - CBoT","Speculators net position (% of OI)",34
2012-11-13,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",22.4
2012-11-20,"COCOA - ICE","Smart money net position (% of OI)",-30.1
2012-11-20,"COFFEE C - ICE","Smart money net position (% of OI)",-10.6
2012-11-20,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-29.5
2012-11-20,"CORN - CBoT","Smart money net position (% of OI)",-31.6
2012-11-20,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-31.8
2012-11-20,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-1.4
2012-11-20,"FEEDER CATTLE - CME","Smart money net position (% of OI)",7
2012-11-20,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-44.5
2012-11-20,"GOLD - CE","Smart money net position (% of OI)",-39.8
2012-11-20,"LEAN HOGS - CME","Smart money net position (% of OI)",-34.1
2012-11-20,"LIVE CATTLE - CME","Smart money net position (% of OI)",-23.6
2012-11-20,"MILK, Class III - CME","Smart money net position (% of OI)",1.9
2012-11-20,"NATURAL GAS - NYME","Smart money net position (% of OI)",-3.6
2012-11-20,"PALLADIUM - NYME","Smart money net position (% of OI)",-51.6
2012-11-20,"PLATINUM - NYME","Smart money net position (% of OI)",-55
2012-11-20,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-42.4
2012-11-20,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-2.5
2012-11-20,"SILVER - CE","Smart money net position (% of OI)",-32.5
2012-11-20,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-36.7
2012-11-20,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-11.4
2012-11-20,"SOYBEANS - CBoT","Smart money net position (% of OI)",-31.5
2012-11-20,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-23.6
2012-11-20,"COCOA - ICE","Speculators net position (% of OI)",30.1
2012-11-20,"COFFEE C - ICE","Speculators net position (% of OI)",10.7
2012-11-20,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",29.5
2012-11-20,"CORN - CBoT","Speculators net position (% of OI)",31.6
2012-11-20,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",31.9
2012-11-20,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",1.3
2012-11-20,"FEEDER CATTLE - CME","Speculators net position (% of OI)",-6.9
2012-11-20,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",44.4
2012-11-20,"GOLD - CE","Speculators net position (% of OI)",39.8
2012-11-20,"LEAN HOGS - CME","Speculators net position (% of OI)",34
2012-11-20,"LIVE CATTLE - CME","Speculators net position (% of OI)",23.6
2012-11-20,"MILK, Class III - CME","Speculators net position (% of OI)",-1.8
2012-11-20,"NATURAL GAS - NYME","Speculators net position (% of OI)",3.5
2012-11-20,"PALLADIUM - NYME","Speculators net position (% of OI)",51.5
2012-11-20,"PLATINUM - NYME","Speculators net position (% of OI)",55
2012-11-20,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",42.5
2012-11-20,"ROUGH RICE - CBoT","Speculators net position (% of OI)",2.4
2012-11-20,"SILVER - CE","Speculators net position (% of OI)",32.6
2012-11-20,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",36.7
2012-11-20,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",11.4
2012-11-20,"SOYBEANS - CBoT","Speculators net position (% of OI)",31.6
2012-11-20,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",23.7
2012-11-27,"COCOA - ICE","Smart money net position (% of OI)",-32.9
2012-11-27,"COFFEE C - ICE","Smart money net position (% of OI)",-11.6
2012-11-27,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-31.4
2012-11-27,"CORN - CBoT","Smart money net position (% of OI)",-36.2
2012-11-27,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-33.6
2012-11-27,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-1.6
2012-11-27,"FEEDER CATTLE - CME","Smart money net position (% of OI)",7.4
2012-11-27,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-57.3
2012-11-27,"GOLD - CE","Smart money net position (% of OI)",-41.2
2012-11-27,"LEAN HOGS - CME","Smart money net position (% of OI)",-33.6
2012-11-27,"LIVE CATTLE - CME","Smart money net position (% of OI)",-28.8
2012-11-27,"MILK, Class III - CME","Smart money net position (% of OI)",2.8
2012-11-27,"NATURAL GAS - NYME","Smart money net position (% of OI)",-4
2012-11-27,"PALLADIUM - NYME","Smart money net position (% of OI)",-54.7
2012-11-27,"PLATINUM - NYME","Smart money net position (% of OI)",-53.8
2012-11-27,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-40.5
2012-11-27,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-3.1
2012-11-27,"SILVER - CE","Smart money net position (% of OI)",-34
2012-11-27,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-33.9
2012-11-27,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-13.9
2012-11-27,"SOYBEANS - CBoT","Smart money net position (% of OI)",-30
2012-11-27,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-22.8
2012-11-27,"COCOA - ICE","Speculators net position (% of OI)",32.9
2012-11-27,"COFFEE C - ICE","Speculators net position (% of OI)",11.5
2012-11-27,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",31.5
2012-11-27,"CORN - CBoT","Speculators net position (% of OI)",36.2
2012-11-27,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",33.5
2012-11-27,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",1.7
2012-11-27,"FEEDER CATTLE - CME","Speculators net position (% of OI)",-7.4
2012-11-27,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",57.3
2012-11-27,"GOLD - CE","Speculators net position (% of OI)",41.1
2012-11-27,"LEAN HOGS - CME","Speculators net position (% of OI)",33.7
2012-11-27,"LIVE CATTLE - CME","Speculators net position (% of OI)",28.7
2012-11-27,"MILK, Class III - CME","Speculators net position (% of OI)",-2.8
2012-11-27,"NATURAL GAS - NYME","Speculators net position (% of OI)",4
2012-11-27,"PALLADIUM - NYME","Speculators net position (% of OI)",54.6
2012-11-27,"PLATINUM - NYME","Speculators net position (% of OI)",53.8
2012-11-27,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",40.4
2012-11-27,"ROUGH RICE - CBoT","Speculators net position (% of OI)",2.9
2012-11-27,"SILVER - CE","Speculators net position (% of OI)",33.9
2012-11-27,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",33.8
2012-11-27,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",13.8
2012-11-27,"SOYBEANS - CBoT","Speculators net position (% of OI)",30
2012-11-27,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",22.8
2012-12-04,"COCOA - ICE","Smart money net position (% of OI)",-35.4
2012-12-04,"COFFEE C - ICE","Smart money net position (% of OI)",-12.6
2012-12-04,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-36.8
2012-12-04,"CORN - CBoT","Smart money net position (% of OI)",-39.7
2012-12-04,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-40.4
2012-12-04,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-2
2012-12-04,"FEEDER CATTLE - CME","Smart money net position (% of OI)",9.7
2012-12-04,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-56.7
2012-12-04,"GOLD - CE","Smart money net position (% of OI)",-40.3
2012-12-04,"LEAN HOGS - CME","Smart money net position (% of OI)",-34.8
2012-12-04,"LIVE CATTLE - CME","Smart money net position (% of OI)",-28.8
2012-12-04,"MILK, Class III - CME","Smart money net position (% of OI)",7.4
2012-12-04,"NATURAL GAS - NYME","Smart money net position (% of OI)",-3.6
2012-12-04,"PALLADIUM - NYME","Smart money net position (% of OI)",-61.4
2012-12-04,"PLATINUM - NYME","Smart money net position (% of OI)",-56.2
2012-12-04,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-40.3
2012-12-04,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-8.9
2012-12-04,"SILVER - CE","Smart money net position (% of OI)",-34.8
2012-12-04,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-35.1
2012-12-04,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-15.9
2012-12-04,"SOYBEANS - CBoT","Smart money net position (% of OI)",-30.1
2012-12-04,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-23.2
2012-12-04,"COCOA - ICE","Speculators net position (% of OI)",35.1
2012-12-04,"COFFEE C - ICE","Speculators net position (% of OI)",12.6
2012-12-04,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",36.8
2012-12-04,"CORN - CBoT","Speculators net position (% of OI)",39.7
2012-12-04,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",40.4
2012-12-04,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",2.1
2012-12-04,"FEEDER CATTLE - CME","Speculators net position (% of OI)",-9.7
2012-12-04,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",56.8
2012-12-04,"GOLD - CE","Speculators net position (% of OI)",40.2
2012-12-04,"LEAN HOGS - CME","Speculators net position (% of OI)",34.8
2012-12-04,"LIVE CATTLE - CME","Speculators net position (% of OI)",28.6
2012-12-04,"MILK, Class III - CME","Speculators net position (% of OI)",-7.4
2012-12-04,"NATURAL GAS - NYME","Speculators net position (% of OI)",3.5
2012-12-04,"PALLADIUM - NYME","Speculators net position (% of OI)",61.3
2012-12-04,"PLATINUM - NYME","Speculators net position (% of OI)",56.1
2012-12-04,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",40.2
2012-12-04,"ROUGH RICE - CBoT","Speculators net position (% of OI)",9
2012-12-04,"SILVER - CE","Speculators net position (% of OI)",34.9
2012-12-04,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",35.1
2012-12-04,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",15.9
2012-12-04,"SOYBEANS - CBoT","Speculators net position (% of OI)",30.1
2012-12-04,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",23.2
2012-12-11,"COCOA - ICE","Smart money net position (% of OI)",-35
2012-12-11,"COFFEE C - ICE","Smart money net position (% of OI)",-14.7
2012-12-11,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-38.5
2012-12-11,"CORN - CBoT","Smart money net position (% of OI)",-37.5
2012-12-11,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-44.9
2012-12-11,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-1.4
2012-12-11,"FEEDER CATTLE - CME","Smart money net position (% of OI)",2.6
2012-12-11,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-58.7
2012-12-11,"GOLD - CE","Smart money net position (% of OI)",-37.5
2012-12-11,"LEAN HOGS - CME","Smart money net position (% of OI)",-35.2
2012-12-11,"LIVE CATTLE - CME","Smart money net position (% of OI)",-30.1
2012-12-11,"MILK, Class III - CME","Smart money net position (% of OI)",14.1
2012-12-11,"NATURAL GAS - NYME","Smart money net position (% of OI)",-3.6
2012-12-11,"PALLADIUM - NYME","Smart money net position (% of OI)",-61.1
2012-12-11,"PLATINUM - NYME","Smart money net position (% of OI)",-54
2012-12-11,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-39.7
2012-12-11,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-13.6
2012-12-11,"SILVER - CE","Smart money net position (% of OI)",-33.7
2012-12-11,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-39.1
2012-12-11,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-20.4
2012-12-11,"SOYBEANS - CBoT","Smart money net position (% of OI)",-32.5
2012-12-11,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-20.8
2012-12-11,"COCOA - ICE","Speculators net position (% of OI)",35
2012-12-11,"COFFEE C - ICE","Speculators net position (% of OI)",14.6
2012-12-11,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",38.6
2012-12-11,"CORN - CBoT","Speculators net position (% of OI)",37.5
2012-12-11,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",44.9
2012-12-11,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",1.3
2012-12-11,"FEEDER CATTLE - CME","Speculators net position (% of OI)",-2.8
2012-12-11,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",58.7
2012-12-11,"GOLD - CE","Speculators net position (% of OI)",37.4
2012-12-11,"LEAN HOGS - CME","Speculators net position (% of OI)",35.2
2012-12-11,"LIVE CATTLE - CME","Speculators net position (% of OI)",30.1
2012-12-11,"MILK, Class III - CME","Speculators net position (% of OI)",-14
2012-12-11,"NATURAL GAS - NYME","Speculators net position (% of OI)",3.6
2012-12-11,"PALLADIUM - NYME","Speculators net position (% of OI)",60.9
2012-12-11,"PLATINUM - NYME","Speculators net position (% of OI)",54
2012-12-11,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",39.7
2012-12-11,"ROUGH RICE - CBoT","Speculators net position (% of OI)",13.5
2012-12-11,"SILVER - CE","Speculators net position (% of OI)",33.8
2012-12-11,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",39
2012-12-11,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",20.3
2012-12-11,"SOYBEANS - CBoT","Speculators net position (% of OI)",32.5
2012-12-11,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",20.9
2012-12-18,"COCOA - ICE","Smart money net position (% of OI)",-35.5
2012-12-18,"COFFEE C - ICE","Smart money net position (% of OI)",-13.2
2012-12-18,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-38.8
2012-12-18,"CORN - CBoT","Smart money net position (% of OI)",-36.9
2012-12-18,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-52
2012-12-18,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-1.1
2012-12-18,"FEEDER CATTLE - CME","Smart money net position (% of OI)",-1.5
2012-12-18,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-65.4
2012-12-18,"GOLD - CE","Smart money net position (% of OI)",-34.4
2012-12-18,"LEAN HOGS - CME","Smart money net position (% of OI)",-39
2012-12-18,"LIVE CATTLE - CME","Smart money net position (% of OI)",-31.7
2012-12-18,"MILK, Class III - CME","Smart money net position (% of OI)",15.6
2012-12-18,"NATURAL GAS - NYME","Smart money net position (% of OI)",-3
2012-12-18,"PALLADIUM - NYME","Smart money net position (% of OI)",-56.9
2012-12-18,"PLATINUM - NYME","Smart money net position (% of OI)",-55.4
2012-12-18,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-43.4
2012-12-18,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-12.5
2012-12-18,"SILVER - CE","Smart money net position (% of OI)",-32.9
2012-12-18,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-39.7
2012-12-18,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-17.6
2012-12-18,"SOYBEANS - CBoT","Smart money net position (% of OI)",-34.1
2012-12-18,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-21.3
2012-12-18,"COCOA - ICE","Speculators net position (% of OI)",35.6
2012-12-18,"COFFEE C - ICE","Speculators net position (% of OI)",13.1
2012-12-18,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",38.8
2012-12-18,"CORN - CBoT","Speculators net position (% of OI)",36.8
2012-12-18,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",52.1
2012-12-18,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",1
2012-12-18,"FEEDER CATTLE - CME","Speculators net position (% of OI)",1.6
2012-12-18,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",65.5
2012-12-18,"GOLD - CE","Speculators net position (% of OI)",34.3
2012-12-18,"LEAN HOGS - CME","Speculators net position (% of OI)",38.9
2012-12-18,"LIVE CATTLE - CME","Speculators net position (% of OI)",31.7
2012-12-18,"MILK, Class III - CME","Speculators net position (% of OI)",-15.7
2012-12-18,"NATURAL GAS - NYME","Speculators net position (% of OI)",3
2012-12-18,"PALLADIUM - NYME","Speculators net position (% of OI)",56.7
2012-12-18,"PLATINUM - NYME","Speculators net position (% of OI)",55.5
2012-12-18,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",43.6
2012-12-18,"ROUGH RICE - CBoT","Speculators net position (% of OI)",12.4
2012-12-18,"SILVER - CE","Speculators net position (% of OI)",33
2012-12-18,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",39.7
2012-12-18,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",17.6
2012-12-18,"SOYBEANS - CBoT","Speculators net position (% of OI)",33.8
2012-12-18,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",21.3
2012-12-24,"COCOA - ICE","Smart money net position (% of OI)",-32.1
2012-12-24,"COFFEE C - ICE","Smart money net position (% of OI)",-14
2012-12-24,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-36.7
2012-12-24,"CORN - CBoT","Smart money net position (% of OI)",-32.7
2012-12-24,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-55.7
2012-12-24,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-1.3
2012-12-24,"FEEDER CATTLE - CME","Smart money net position (% of OI)",-0.900000000000002
2012-12-24,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-68.8
2012-12-24,"GOLD - CE","Smart money net position (% of OI)",-32.1
2012-12-24,"LEAN HOGS - CME","Smart money net position (% of OI)",-39.8
2012-12-24,"LIVE CATTLE - CME","Smart money net position (% of OI)",-33.7
2012-12-24,"MILK, Class III - CME","Smart money net position (% of OI)",15.2
2012-12-24,"NATURAL GAS - NYME","Smart money net position (% of OI)",-2.4
2012-12-24,"PALLADIUM - NYME","Smart money net position (% of OI)",-59
2012-12-24,"PLATINUM - NYME","Smart money net position (% of OI)",-51.2
2012-12-24,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-42.8
2012-12-24,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-11
2012-12-24,"SILVER - CE","Smart money net position (% of OI)",-29.2
2012-12-24,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-38.8
2012-12-24,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-13.9
2012-12-24,"SOYBEANS - CBoT","Smart money net position (% of OI)",-32.5
2012-12-24,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-21.9
2012-12-24,"COCOA - ICE","Speculators net position (% of OI)",32
2012-12-24,"COFFEE C - ICE","Speculators net position (% of OI)",14
2012-12-24,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",36.6
2012-12-24,"CORN - CBoT","Speculators net position (% of OI)",32.6
2012-12-24,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",55.8
2012-12-24,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",1.4
2012-12-24,"FEEDER CATTLE - CME","Speculators net position (% of OI)",0.999999999999996
2012-12-24,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",68.8
2012-12-24,"GOLD - CE","Speculators net position (% of OI)",32.1
2012-12-24,"LEAN HOGS - CME","Speculators net position (% of OI)",39.8
2012-12-24,"LIVE CATTLE - CME","Speculators net position (% of OI)",33.7
2012-12-24,"MILK, Class III - CME","Speculators net position (% of OI)",-15.3
2012-12-24,"NATURAL GAS - NYME","Speculators net position (% of OI)",2.4
2012-12-24,"PALLADIUM - NYME","Speculators net position (% of OI)",59
2012-12-24,"PLATINUM - NYME","Speculators net position (% of OI)",51.1
2012-12-24,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",42.8
2012-12-24,"ROUGH RICE - CBoT","Speculators net position (% of OI)",11.1
2012-12-24,"SILVER - CE","Speculators net position (% of OI)",29.1
2012-12-24,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",38.9
2012-12-24,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",13.8
2012-12-24,"SOYBEANS - CBoT","Speculators net position (% of OI)",32.6
2012-12-24,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",21.7
2012-12-31,"COCOA - ICE","Smart money net position (% of OI)",-29.5
2012-12-31,"COFFEE C - ICE","Smart money net position (% of OI)",-13.9
2012-12-31,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-38.4
2012-12-31,"CORN - CBoT","Smart money net position (% of OI)",-32.6
2012-12-31,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-56.1
2012-12-31,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-1.2
2012-12-31,"FEEDER CATTLE - CME","Smart money net position (% of OI)",-0.9
2012-12-31,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-65
2012-12-31,"GOLD - CE","Smart money net position (% of OI)",-31.7
2012-12-31,"LEAN HOGS - CME","Smart money net position (% of OI)",-41.2
2012-12-31,"LIVE CATTLE - CME","Smart money net position (% of OI)",-34.3
2012-12-31,"MILK, Class III - CME","Smart money net position (% of OI)",15.8
2012-12-31,"NATURAL GAS - NYME","Smart money net position (% of OI)",-2.4
2012-12-31,"PALLADIUM - NYME","Smart money net position (% of OI)",-58.1
2012-12-31,"PLATINUM - NYME","Smart money net position (% of OI)",-50.7
2012-12-31,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-47.2
2012-12-31,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-5.2
2012-12-31,"SILVER - CE","Smart money net position (% of OI)",-28.6
2012-12-31,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-36.4
2012-12-31,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-15.8
2012-12-31,"SOYBEANS - CBoT","Smart money net position (% of OI)",-33.6
2012-12-31,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-23.9
2012-12-31,"COCOA - ICE","Speculators net position (% of OI)",29.6
2012-12-31,"COFFEE C - ICE","Speculators net position (% of OI)",13.8
2012-12-31,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",38.5
2012-12-31,"CORN - CBoT","Speculators net position (% of OI)",32.6
2012-12-31,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",56.1
2012-12-31,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",0.999999999999998
2012-12-31,"FEEDER CATTLE - CME","Speculators net position (% of OI)",0.900000000000004
2012-12-31,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",65.2
2012-12-31,"GOLD - CE","Speculators net position (% of OI)",31.7
2012-12-31,"LEAN HOGS - CME","Speculators net position (% of OI)",41.1
2012-12-31,"LIVE CATTLE - CME","Speculators net position (% of OI)",34.2
2012-12-31,"MILK, Class III - CME","Speculators net position (% of OI)",-15.8
2012-12-31,"NATURAL GAS - NYME","Speculators net position (% of OI)",2.5
2012-12-31,"PALLADIUM - NYME","Speculators net position (% of OI)",58
2012-12-31,"PLATINUM - NYME","Speculators net position (% of OI)",50.6
2012-12-31,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",47.1
2012-12-31,"ROUGH RICE - CBoT","Speculators net position (% of OI)",5.3
2012-12-31,"SILVER - CE","Speculators net position (% of OI)",28.6
2012-12-31,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",36.5
2012-12-31,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",15.9
2012-12-31,"SOYBEANS - CBoT","Speculators net position (% of OI)",33.6
2012-12-31,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",24
2013-01-08,"COCOA - ICE","Smart money net position (% of OI)",-25.1
2013-01-08,"COFFEE C - ICE","Smart money net position (% of OI)",-16.8
2013-01-08,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-38.5
2013-01-08,"CORN - CBoT","Smart money net position (% of OI)",-31.1
2013-01-08,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-55.9
2013-01-08,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-1
2013-01-08,"FEEDER CATTLE - CME","Smart money net position (% of OI)",-2.5
2013-01-08,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-52.6
2013-01-08,"GOLD - CE","Smart money net position (% of OI)",-30.7
2013-01-08,"LEAN HOGS - CME","Smart money net position (% of OI)",-41
2013-01-08,"LIVE CATTLE - CME","Smart money net position (% of OI)",-33.1
2013-01-08,"MILK, Class III - CME","Smart money net position (% of OI)",20.5
2013-01-08,"NATURAL GAS - NYME","Smart money net position (% of OI)",-2.5
2013-01-08,"PALLADIUM - NYME","Smart money net position (% of OI)",-56.7
2013-01-08,"PLATINUM - NYME","Smart money net position (% of OI)",-49.7
2013-01-08,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-46.9
